Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Gunnar Henderson","BAL",80,367,26,72,57,45,83,13,1,0.289808917,0.542168674,0.42045416483462184,2.2889936324208975,37.26173563237082,180.69116284747858,151.40757432399093,100.68478252199955,125.03365869892443,154.7225191543301,207.28409018060682,1.6057107789674774,2.292821368202567,-0.5083570701913547,5.323409963404656,"Gunnar Henderson",26289,683002
"Aaron Judge","NYY",81,356,30,61,77,60,90,5,0,0.304498269,0.666666666,0.46434803792408536,-5.7814026502892375,44.74436873550144,208.9828978072493,208.1145313418757,112.54969401700767,138.3629762385358,176.81701812221087,253.9191435893822,2.7002681684680283,4.654851743602194,-1.545604292385562,5.225355680744586,"Aaron Judge",15640,592450
"Bobby Witt Jr.","KCR",83,364,12,61,53,25,62,21,8,0.310240963,0.403225806,0.3764576781489512,9.916967414319515,20.796075158637766,143.16141742188438,84.80857691528273,75.83018464722421,116.29862267438871,134.2026371030061,142.22930369208459,1.5778882538434118,2.133290948346257,-0.48128345745755263,4.403741656332985,"Bobby Witt Jr.",25764,677951
"Shohei Ohtani","LAD",79,360,25,65,61,42,70,16,2,0.321543408,0.6,0.4366925690281257,-8.505110695958138,38.78563380970842,185.58378155154176,142.03524140825849,86.44664041182675,127.64408303273885,159.52664296485668,205.53821289351376,2.79808256868273,3.7596880533965304,-0.885014707344689,4.3625059086299185,"Shohei Ohtani",19755,660271
"Juan Soto","NYY",80,361,19,65,57,68,60,4,2,0.299651567,1.133333333,0.4232802671738939,-2.1309185391291976,31.5189032194806,180.3337376141978,232.59633305555124,73.99388948307899,139.64392783326696,141.2114283821039,166.75344443004906,2.9705029490869492,3.4200996393337846,0.14608809946362378,4.257142801387806,"Juan Soto",20123,665742
"Bryce Harper","PHI",76,336,20,52,58,47,72,4,3,0.303135888,0.652777777,0.4093665929465759,-2.18699848651886,26.00130301991408,165.36509702055895,170.29735627944507,95.26772625886677,126.55716666840937,144.3438199217172,178.18086236477848,0.3338463050313294,1.4819330081809312,-1.1327277093690251,3.6140108682993657,"Bryce Harper",11579,547180
"Elly De La Cruz","CIN",81,346,14,54,36,38,106,38,7,0.254966887,0.358490566,0.35261153236422527,8.394444516859949,14.24214315428253,121.30489468347798,133.70782432113543,136.20164327995104,109.7765913349705,116.63933124275665,137.58129062125144,-0.5205429552588612,0.9390901792794466,-1.4718145866523193,3.5274473335502243,"Elly De La Cruz",26668,682829
"Jarren Duran","BOS",81,373,8,56,38,30,83,20,3,0.287833827,0.361445783,0.3582189881032513,4.316895368043333,17.241644811401386,129.00527145650426,99.31470930020208,99.06518812330282,112.92889331958413,122.50105085645535,126.86456936257582,2.382978548645042,1.6391879261936992,1.0521626504001698,3.4924596894961266,"Jarren Duran",24617,680776
"Mookie Betts","LAD",72,331,10,50,40,47,34,9,1,0.303886925,1.382352941,0.3885860542156185,-0.34120240807533264,20.9376858028541,153.09766352885984,172.8698235107608,45.66710740884715,128.46890633467524,120.96403637323772,117.45455766549817,0.9461226090788841,1.791186147951521,-0.8071801571765245,3.2655751998671305,"Mookie Betts",13611,605141
"Kyle Tucker","HOU",60,262,19,42,40,46,41,10,0,0.26635514,1.121951219,0.41329795603568736,-1.0782888089306653,23.252872712362834,175.0931952162653,216.79920996596832,69.66816506980959,127.52677513070915,147.03546744691047,202.76387636213013,1.8070118897594512,1.941528111230582,-0.06210688979860013,3.1767176904527457,"Kyle Tucker",18345,663656
"José Ramírez","CLE",76,334,21,61,72,25,41,15,2,0.277777777,0.609756097,0.36615986318299265,0.7639600927941501,18.198473272635148,141.33726863998703,92.42611418542388,54.64987819682866,107.39428526150418,135.733917846856,166.82610408398526,2.4844622942619026,1.7866228758357465,0.8993152966742235,3.0921039738679825,"Jose Ramirez",13510,608070
"Adley Rutschman","BAL",77,348,15,43,55,26,63,1,0,0.299684542,0.412698412,0.35619959157894254,4.452783803455532,13.442707349753288,135.86672926583512,92.25613478194404,80.59593021917195,113.2883486666495,120.70081231774144,114.73899483755797,1.0302027044817805,1.3162341637071222,-0.19958317620720867,3.030131557182727,"Adley Rutschman",26288,668939
"Francisco Lindor","NYM",78,352,13,51,39,24,60,13,3,0.246056782,0.4,0.32594314217567444,9.100582521408796,6.988222062702804,113.3257345881684,83.00760886819157,75.7811457866934,99.16792930713926,109.55504785231105,125.02169782664923,1.1686751637607813,0.5716773673811986,0.61070773553602,2.874439061794224,"Francisco Lindor",12916,596019
"Carlos Correa","MIN",63,267,8,41,38,27,47,0,0,0.309012875,0.574468085,0.3728480368401065,4.903367620892823,13.969823795269896,145.85952375084136,124.86871880512543,78.36793508672835,122.69995331519694,124.24181464718176,117.76276130133998,1.1871227275114506,1.76925511052832,-0.6138813708968622,2.8540737693129845,"Carlos Correa",14162,621043
"Ketel Marte","ARI",78,345,17,54,47,30,64,3,1,0.281967213,0.46875,0.3628251552581787,2.2095881309360266,13.82118613972145,132.85909241837538,105.86477591000414,82.47331658779761,109.45839841962794,128.50524880969107,150.8987427293279,1.9550304582808167,1.2658287793597083,0.9075711036510428,2.844228928106836,"Ketel Marte",13613,606466
"Alec Bohm","PHI",79,338,9,37,65,22,44,4,1,0.300653594,0.5,0.35831730585069965,3.6253284907434136,11.692144532188571,130.8917378085288,79.2419774253125,57.874673664954614,111.72528811178711,120.78929914862786,119.07110810063617,1.8772194171324372,0.9263546934816986,0.8963297959206453,2.746589675306897,"Alec Bohm",21618,664761
"Jurickson Profar","SDP",83,334,11,45,55,41,49,4,2,0.315789473,0.836734693,0.38818252122545815,-5.616423757281154,20.8916402150457,155.15455804937784,149.4468331094067,65.22321350559514,129.60325162555293,120.1151660696267,107.6587527095681,3.1822698954492807,1.615382218384184,1.6649191032658468,2.728390699492499,"Jurickson Profar",10815,595777
"Willi Castro","MIN",81,320,7,49,27,26,76,8,4,0.276595744,0.342105263,0.35649347845464946,3.0445563914254308,12.80311485822105,134.45047099456565,100.32854748603866,105.73418508775217,116.13216500931523,116.04331066645068,117.66564544941183,1.1994302505627275,1.5094625176861882,-0.2797099808166683,2.72376791129809,"Willi Castro",17338,650489
"Freddie Freeman","LAD",82,360,12,51,50,47,56,3,2,0.299003322,0.839285714,0.38383921989300435,-5.646807591896504,19.85508666668044,149.89214717333977,158.94419895065968,69.15731224054487,126.93494951313826,125.26816385652617,131.66736933175758,0.7553512824815698,1.5662278685485944,-0.7730928202021352,2.708629319529334,"Freddie Freeman",5361,518692
"Josh Smith","TEX",77,281,7,38,32,25,54,4,0,0.297520661,0.462962962,0.37591553247103127,1.498117409646511,15.396424508175757,147.2516901786596,109.85879757796937,85.55378879527046,126.24871153085435,117.540881694355,108.10951912993441,0.5141312440973707,1.1369653337169439,-0.5672796852082131,2.6982842519807657,"Josh Smith",26396,669701
"Anthony Volpe","NYY",82,375,6,55,28,26,80,15,4,0.266081871,0.325,0.3156463372451003,8.709385633468628,4.974336880389888,105.24756555253772,85.61369344314869,94.9752678602487,104.24205549621242,100.8370955573975,85.82764024028495,0.9513287304434925,0.06922810664400458,1.0517712880543801,2.6889512941477953,"Anthony Volpe",27647,683011
"Riley Greene","DET",80,339,15,50,41,42,88,4,0,0.262798634,0.477272727,0.3654301447654838,-2.881007598247379,16.655110748699954,140.85008183454917,152.98566766976631,115.5672506065601,115.68400876288547,125.43279578968165,150.27160245896746,1.1420847608242184,1.2828765625017695,-0.10712128389415243,2.5752891500602697,"Riley Greene",25976,682985
"Jordan Westburg","BAL",75,312,13,40,48,17,68,6,3,0.285714285,0.25,0.364284346532975,-0.629981079371646,15.156565775645694,141.50671009675378,67.28147108531431,97.03002098069943,109.10221544302298,129.8092634043672,146.74303112396757,2.889017123146914,1.3186740819655824,1.6719733564313053,2.560499585540674,"Jordan Westburg",27815,676059
"Marcell Ozuna","ATL",79,335,21,46,64,38,75,0,0,0.302721088,0.506666666,0.40435160562663736,-8.528444930911064,22.016793944719513,160.94743507152666,138.0982302421169,99.53344547116036,121.25129498154404,141.75081708693475,171.7642298763414,2.8672604887979105,2.4160353406332433,0.6240864886491457,2.547979960507667,"Marcell Ozuna",10324,542303
"Joey Ortiz","MIL",72,251,7,32,28,35,41,5,3,0.274881516,0.853658536,0.36431527280807496,5.707570725586265,10.053893348350435,134.91583768573508,169.76323762085687,72.621082022281,120.58820203748135,112.86320981917233,115.12088181704543,-0.19659001856780378,0.6607529758475721,-0.8643479039934727,2.491025612015629,"Joey Ortiz",25493,687401
"Fernando Tatis Jr.","SDP",80,345,14,50,36,30,71,8,3,0.279220779,0.422535211,0.3565307781316232,-1.1164804445579648,13.464683234349424,133.780275048885,105.86477591000414,91.49383557569479,112.21785378863748,115.97794120784408,120.37332085029387,1.4046932188794017,0.8300205311388709,0.739259874005675,2.465282544196312,"Fernando Tatis Jr.",19709,665487
"Rafael Devers","BOS",69,300,16,47,42,34,70,1,0,0.28076923,0.485714285,0.381211331739264,-1.3114090822637081,15.071694180828988,145.0448889962205,139.94546069712655,103.87919923605942,117.4113017915561,138.44859627427604,171.79880542355275,0.7701495690271258,1.4558311024447903,-0.6343257962895301,2.4406578049448515,"Rafael Devers",17350,646240
"Isaac Paredes","TBR",76,320,12,30,41,31,55,0,1,0.272401433,0.563636363,0.35307774510023726,-0.039404263254255056,12.258005791596347,135.2573507192751,119.62249892566147,76.51816026087329,116.13216500931523,114.58437082450243,116.64373550156736,0.9014612780883908,0.8842655722401105,-0.06392498815465586,2.350327000512546,"Isaac Paredes",20036,670623
"William Contreras","MIL",78,352,9,56,49,29,68,5,0,0.29153605,0.426470588,0.3445967873956403,2.7083341740071774,8.218999756655622,121.60003115031046,100.30086020846277,85.88529870644676,111.78930204150134,109.64581221175496,96.18415161835829,1.4855269622057676,0.5443182499147952,0.8522416717604004,2.3433100260247004,"William Contreras",20503,661388
"Ezequiel Tovar","COL",79,347,12,42,36,13,95,4,2,0.287461773,0.136842105,0.3417154883229455,7.673808900639415,3.291194494754638,106.79995177007913,45.61032776297218,121.71573105592152,100.55166781871128,119.8596359113707,125.10803075963595,0.7620391556993127,-0.02444674726575613,0.8145585768710307,2.3298729851556117,"Ezequiel Tovar",24064,678662
"Brice Turang","MIL",77,308,5,39,32,28,52,27,4,0.288321167,0.538461538,0.33471123312340406,3.2147687522228807,8.782112053674272,114.92435979770607,110.67681101262548,75.05942041936005,112.36864362321263,101.39839475884322,76.98681369429865,-0.018635587708558887,0.788286920520477,-0.8066571309676043,2.301011945933441,"Brice Turang",22186,668930
"Jose Altuve","HOU",79,351,12,49,35,21,66,13,3,0.302752293,0.318181818,0.35176227825028555,-2.4351521185599267,13.052897330132732,132.16548187176247,73.87769337755702,83.71217531291448,113.2407285815014,116.23985556614302,101.4731256734607,1.0117278525140136,0.8217150545679033,0.3223605632793918,2.29147905409835,"Jose Altuve",5417,514888
"Ryan McMahon","COL",78,336,14,42,42,35,96,2,4,0.277027027,0.364583333,0.3574839971802972,4.195485264295712,5.316518616902407,117.44835649817325,126.81717974184188,127.02363486362813,112.11320385619825,118.16558823187589,127.412860353734,0.7660063586663455,0.253161947010085,0.5607467202092669,2.1422661535228675,"Ryan McMahon",15112,641857
"Willy Adames","MIL",81,353,13,43,54,43,74,10,2,0.237785016,0.581081081,0.3300902583443747,2.5697755799628794,5.899942777366981,111.80383583881068,148.30065740248955,93.19864448955853,105.1798093751482,105.0433578367999,118.68325392021757,0.5524976260494441,-0.013645195867866278,0.5237139222295017,2.0938775234535356,"Willy Adames",15986,642715
"Brandon Nimmo","NYM",74,328,12,50,46,41,80,5,0,0.241877256,0.5125,0.3487422681365174,-2.9543406327138655,11.9961239045517,128.72188414638524,152.18061666416617,108.43481050968218,114.16405502434668,107.46451835303662,122.30636699060551,2.077939784503542,1.4485712661407888,0.6864086083826035,2.066177878112617,"Brandon Nimmo",12927,607043
"Ha-Seong Kim","SDP",83,328,10,43,37,46,50,15,3,0.223021582,0.92,0.31399298526185215,4.794634643476456,3.7274305894169197,105.05469047936006,170.73922791799114,67.77175640183285,105.77912448850275,95.4778435129992,103.47148560524175,-0.11734487069770694,-0.20993078233914275,0.08365310048351252,2.0126975118700705,"Ha-Seong Kim",27506,673490
"Marcus Semien","TEX",80,359,11,52,44,29,49,3,2,0.243902439,0.591836734,0.3072263451927867,7.656411388888955,-0.08588675369821952,99.33363926142617,99.74811627721284,60.76499097336239,99.0154343022672,100.53639728907635,99.21829880415048,-1.4032987970858812,-0.8319261251017451,-0.6047661263049249,2.0052369768039977,"Marcus Semien",12533,543760
"Matt Chapman","SFG",79,338,9,52,33,33,81,6,0,0.235099337,0.407407407,0.3095730724079268,5.7795493537560105,2.134952519482957,100.58392927012567,118.86296674669121,106.54201334800295,100.45887265854445,96.92564135392658,99.4818562855322,-0.25288082798942924,-0.10605741012841463,-0.1477209221324089,1.9848042864974482,"Matt Chapman",16505,656305
