Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",66,293,19,60,49,23,37,7,4,0.362595419,0.621621621,0.4550527350770103,7.982613878324628,34.300144519114795,197.98987134529267,96.93070420705816,56.2193617149389,134.55407971120493,171.97986607584406,204.58483639379176,2.8028311610687524,3.1803618571721017,0.01930109936088087,5.351786659620407,"Bobby Witt Jr.",25764,677951
"Aaron Judge","NYY",66,300,22,50,53,60,68,3,0,0.340425531,0.882352941,0.4738160382200788,-4.871968567371368,39.60315902542723,215.58784013143207,246.9625784271721,100.91122196239033,156.18934645553614,168.17353657718348,209.0828012362368,2.6039347434416413,3.6582440603524446,-1.02300991697122,4.598619651605317,"Aaron Judge",15640,592450
"Francisco Lindor","NYM",69,317,18,52,47,30,64,14,1,0.296819787,0.46875,0.39494458715246306,8.195695070549846,24.97086481810023,159.9221071166717,115.2156076441937,89.75802590854688,118.1255837305709,136.7419543659737,162.6293881268964,2.2208211119286716,2.1430223174393177,0.23596785146518018,4.510592128400351,"Francisco Lindor",12916,596019
"Eugenio Suárez","ARI",67,277,22,57,60,22,69,0,1,0.322580645,0.318840579,0.4310754670993516,1.8500446481630206,25.26918698972541,178.94822804165983,96.69237655757577,110.74443242759398,119.14471778387248,164.04227620460054,216.51130133048562,0.9020897559239529,1.6737202557269484,-0.728103883482715,3.7497993630767166,"Eugenio Suarez",12552,553993
"Lawrence Butler","OAK",64,257,19,47,47,17,49,12,0,0.324894514,0.346938775,0.4257832772536964,-1.8213162990286946,27.942534715189417,185.86886784545612,81.6802290803851,84.88183580613217,118.19507749044742,164.6300912593307,210.0108356539556,2.019011844880879,2.8867924481164664,-0.7916673889495853,3.5657587293579778,"Lawrence Butler",22542,671732
"Brent Rooker","OAK",64,277,22,49,60,25,62,8,1,0.341463414,0.403225806,0.4404386560412219,-7.538181742653251,31.61009519177708,196.09256119194023,111.44520615376041,99.6468850764605,130.66007797870117,163.723395429926,197.13962785851388,3.235574760939926,3.1830869023688138,-0.05554422917033763,3.4231923352792437,"Brent Rooker",19627,667670
"Vladimir Guerrero Jr.","TOR",65,285,17,53,52,27,30,0,2,0.358565737,0.9,0.44936106213624927,-6.880171583965421,29.910917268578757,199.94601664577706,116.98227386183805,46.86279631645943,137.1971754011336,167.48218444959792,195.75481335476422,1.1914909980259836,2.9710160170216113,-1.6051246358417295,3.343378419106016,"Vladimir Guerrero Jr.",19611,665489
"Juan Soto","NYY",65,302,20,51,44,51,49,1,2,0.268,1.040816326,0.41251456777122725,-1.7826520930975676,23.30502021737832,172.82351144065277,208.52800473436872,72.23388008658573,127.33408702677383,146.00033788923653,199.0902722305792,2.5018844604492188,3.1884124730713665,-0.4267893154371132,3.246228012231887,"Juan Soto",20123,665742
"Yordan Alvarez","HOU",62,268,18,39,43,34,37,3,0,0.337719298,0.918918918,0.4452265699704488,-6.723593298345804,29.013427497605736,197.36681656579552,156.6553661202666,61.46370517344726,139.87105633442022,162.296201347654,195.91091799526868,1.935895221773535,2.687679033493623,-0.8225904798516626,3.20907101052131,"Yordan Alvarez",19556,670541
"Jackson Chourio","MIL",63,273,12,42,44,22,44,12,4,0.306451612,0.5,0.3904676929668144,1.0903225671499968,18.982053254198654,152.57645207791901,98.10911479158264,71.65435823079649,117.40320391431385,137.03531601001563,157.22844524970907,2.5274634221568704,1.6964052408002317,0.8588064005879694,3.0108085246083194,"Jackson Chourio",28806,694192
"Jarren Duran","BOS",66,304,13,48,34,20,64,12,4,0.288256227,0.3125,0.36856521607229586,3.518327559810132,15.156717396178863,136.22287146411134,81.2376894272241,93.72559307811544,109.4884483225303,132.58099146381744,152.14718788407234,0.06842447957023978,1.427845099242404,-1.3548952686610003,2.9600621504307285,"Jarren Duran",24617,680776
"Corbin Carroll","ARI",65,282,17,64,44,27,57,13,1,0.252066115,0.47368421,0.37426936946889405,0.4086635180283338,18.82947488369946,140.58731997705718,116.56387555770607,89.86246505895194,105.77912448850275,139.40782846085887,198.10656325730955,2.285358589957468,1.4242247988004237,0.993539951401845,2.9561272708022335,"Corbin Carroll",25878,682998
"Matt Chapman","SFG",66,275,15,41,40,29,69,9,2,0.261410788,0.420289855,0.3676151968266842,4.702296115458012,14.62061900900617,139.7795207924763,128.38510150511252,111.54984649131283,109.62563807164787,128.66386411142054,164.447627747367,0.6409673639573157,1.669747378793545,-1.0890255302704392,2.9406123603420267,"Matt Chapman",16505,656305
"Austin Wells","NYY",57,220,11,22,39,24,46,0,2,0.276595744,0.52173913,0.36994286922559344,10.820980752119794,9.25100304248846,143.12520084222632,134.70686084801997,93.0865552520941,116.57022539181672,127.20132129293297,145.9506563072588,0.4922679360024631,0.7348444246745203,-0.2662409632386518,2.8168982459248095,"Austin Wells",27562,669224
"Tyler Fitzgerald","SFG",56,222,13,40,27,14,63,12,3,0.303921568,0.222222222,0.392448917971001,1.5644552223966457,17.732419342563425,156.54962353595963,76.7758065285693,126.1653670274522,112.92636247094912,141.05596000302222,169.20631110771,0.8376334477216005,1.5566506427712739,-0.7816857964304477,2.75441143217592,"Tyler Fitzgerald",26208,666149
