Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Taj Bradley","TBR",4,6,13,13,0,0,6,73,76,4.808219303711651,123.30579418796844,4.215084927469957,105.38181114272045,0.5931343762416939,119.51896331286082,127.34254790634552,103.26877053793082,100.6601271358879,109.74033683585435,91.81835242300942,0.17320262,-0.9722998291254044,-0.015352901071310043,-1.180398324646538,0.7618242066485519,"Taj Bradley",22543,671737
"Luis Severino","NYM",5,4,14,14,1,1,6,81.2,78,4.297959267323538,108.61674251240183,4.508682913385,111.44000846403544,-0.21072364606146188,109.2000681084104,127.80579805386225,105.99430996940377,101.68080139378002,101.56237156110248,93.00578373656761,0.15116279,-0.23744173720479012,-0.5678681582212448,0.32651490285392515,0.7254399618716406,"Luis Severino",15890,622663
"Tanner Bibee","CLE",5,6,13,13,0,0,4,72.2,69,3.715596460310786,92.40746047122904,4.2886679479504135,105.19232788689273,-0.5730714876396275,131.3549825230326,127.92668916895849,100.12253062309702,92.32866549736757,103.34779089132213,78.67824619441608,0.16949153,0.37269627396017313,0.36750800535082817,0.06312569583767647,0.7253087086817929,"Tanner Bibee",30134,676440
"Chris Flexen","CHW",0,7,14,13,0,0,6,69.2,53,5.0382776958804225,123.45931829969116,4.580687625801,107.45257577050147,0.4575900700794229,68.46504521439705,100.07662062510214,128.51500976226328,132.99198545318524,73.64154155081127,107.56079390940573,0.07861635,-0.5169719066470861,-1.2183434459147975,0.7343468583835113,0.7029430449669212,"Chris Flexen",13896,623167
"Shota Imanaga","CHC",6,1,12,12,0,0,8,75.1,75,2.9867257141303294,74.16318467168324,4.46159965106003,111.62867279108744,-1.474873936929701,248.18197296704182,170.5237328375714,84.27015654876018,71.08237296836289,114.26431093794498,46.04053872386514,0.21768708,0.5043101795017719,0.7578988636378199,-0.16327901578620296,0.6893438625205998,"Shota Imanaga",33829,684007
"José Berríos","TOR",9,3,13,13,0,0,8,79.1,67,3.5168067790569464,87.95807559100089,4.3462579362094935,105.71030362669009,-0.8294511571525471,100.97517676863066,107.41183291598422,93.94579183127088,91.61744854905466,89.98145824240194,89.11245988337681,0.13069909,0.46142205595970154,0.8175061941146851,-0.23699777360053542,0.6747993156250391,"Jose Berrios",14168,621244
"Mitch Keller","PIT",2,6,13,13,0,0,6,71.1,68,4.794392544730322,113.40380315016002,4.561839483331745,111.46464406833663,0.23255306139857712,154.70009648691473,146.31971987529008,107.7390722734269,100.09106598930211,98.25256362110844,63.51164191180173,0.16774194,-0.18325386196374893,-0.5688470155000687,0.3510712314370598,0.4948096745252224,"Mitch Keller",17594,656605
"Jose Quintana","NYM",6,4,14,14,0,0,6,80.1,64,3.2489627455982,82.10681582163565,4.617972452345267,114.10022482098343,-1.3690097067470668,70.59398340927943,99.94389014084712,89.35297859997125,94.6739078440666,85.57203105053198,121.21718191639826,0.09253731,0.8076821193099022,0.30096185207366943,0.5683008504569227,0.48928067162503797,"Jose Quintana",11423,500779
"Keider Montero","DET",5,4,13,13,1,1,4,74.1,54,4.358744469180675,108.42616307776069,4.653809662974074,114.43457424132372,-0.29506519379339835,88.78143086452887,114.6368442222667,106.65649193840603,98.85456342546107,79.00615746771919,88.989512409688,0.10596027,-0.1182178184390068,0.17359655164182186,-0.2962702730990661,0.4433698690570752,"Keider Montero",22630,672456
"Jonathan Cannon","CHW",2,8,13,12,0,0,4,73.1,45,4.54090922869927,111.271666961585,4.987625428526856,117.1456239698177,-0.4467161998275859,58.13069878809705,105.63643223132154,111.94289665916268,111.09416647438746,64.13940727118383,110.33655612796352,0.05483871,-0.30843569710850716,-0.24231228604912758,-0.08441294127889282,0.4417011663536723,"Jonathan Cannon",31730,686563
"Colin Rea","MIL",6,3,13,12,0,0,3,72,69,4.875000129143401,117.78102888984692,4.757322385134522,115.44346756470748,0.11767774400887898,193.20012047429532,167.26720482514204,104.94376646944619,92.69706215058363,102.00069598604054,52.79536210083157,0.18481848,-0.0015058591961860657,-0.8548614783212543,0.85310350958907,0.43124853253174195,"Colin Rea",12317,607067
"Mitch Spence","OAK",3,5,13,13,0,0,2,69,57,4.304348064054852,110.26194628404606,4.536307925753326,114.19636200628761,-0.23195986169847416,82.46808468804417,112.27060710399326,113.86375231348332,115.7559781848449,82.84673457604963,100.45915354853092,0.10526316,-0.4938898468390107,-0.5807859647320583,0.04393673820905131,0.430869661912023,"Mitch Spence",27707,687765
"Freddy Peralta","MIL",6,4,14,14,0,0,5,76.1,72,3.419214030756622,82.6089304346087,5.086652797176974,123.31992169105534,-1.6674387664203523,79.41823132178936,147.2535727562148,96.73399923907904,102.68503544187524,99.84507466999666,125.720606692514,0.12074303,0.7608581241220236,0.05749174393713474,0.7596896395696858,0.237864649503078,"Freddy Peralta",18679,642547
"Kutter Crawford","BOS",5,7,13,13,0,0,6,73.1,58,4.786363843846921,111.52601839741516,5.5194436569844445,133.63883188980478,-0.7330798131375236,139.85815529479189,190.1455804891555,89.0152311419445,79.50857115780747,87.46503927139368,62.538394339695756,0.14675768,0.19858014583587646,0.29128238558769226,-0.05326039715946557,0.13238612799443433,"Kutter Crawford",20531,676710
"Luis L. Ortiz","PIT",2,4,13,12,0,0,4,69.2,52,3.6172249629103956,85.55975836701309,5.040017760564922,122.97293520063332,-1.4227927976545263,90.13338954286573,138.2955640552186,84.19666184628241,82.43406231048395,82.30260498656136,91.31201084419884,0.10954064,0.5903582163155079,0.2740440545603633,0.3927456155701686,0.13092920036146366,"Luis L. Ortiz",27646,682847
"Griffin Canning","LAA",2,5,13,12,0,0,1,68.2,58,6.291262368924867,152.08617273566983,5.256513358829993,124.973662181005,1.034749010094874,72.34042516495104,146.66029038994236,115.67432654780143,119.80743523487996,85.42418839335475,118.08638569460817,0.09666667,-1.8531819209456444,-0.8613976994529366,-1.4465644181023607,0.11363138073523948,"Griffin Canning",19867,656288
"Charlie Morton","ATL",4,4,13,13,0,0,5,69.2,75,4.00478494483085,95.7772492893558,4.96824749768462,123.95086884971094,-0.9634625528537697,124.09098648352091,161.34483135708751,107.36104044088854,103.59956905016448,111.60700164166492,89.93965818665566,0.17607974,0.27323802560567856,-0.8059963379055262,1.0814615677595771,0.11029096199678717,"Charlie Morton",4676,450203
"Jake Irvin","WSN",5,6,14,14,0,0,5,80,64,5.4000001287460355,131.63119445981687,5.27398905992508,128.18431999652938,0.12601106882095525,97.06672718320922,170.61254846967597,105.02234833219475,100.88889528267322,85.31735222672107,87.89557571725246,0.11904762,-0.4058398976922035,-0.7640193495899439,0.3277199363326325,0.1040073287114565,"Jake Irvin",21504,663623
